ma_ck,ngay,nam,ten_cong_ty,san_giao_dich,nganh,phan_nganh_gics_chuan,tong_tai_san,tai_san_ngan_han,tien_mat,hang_ton_kho,no_ngan_han,tong_no_phai_tra,von_chu_so_huu,loi_nhuan_sau_thue,ebit,doanh_thu_thuan,doanh_thu_tai_chinh,loi_nhuan_gop,chi_phi_lai_vay,gia_von_hang_ban,chi_phi_quan_ly_ban_hang,dong_tien_kd,dong_tien_dt,dong_tien_tc,roa,von_chu_so_huu_safe,roe,no_tong_tai_san,no_von_chu_so_huu,tt_hien_han,tt_nhanh,kha_nang_tra_lai,dong_tien_tren_no,quy_mo_dn,diem_rui_ro,target,roa_tre1,roe_tre1,tt_hien_han_tre1,tt_nhanh_tre1,no_tong_tai_san_tre1,no_von_chu_so_huu_tre1,kha_nang_tra_lai_tre1,dong_tien_tren_no_tre1,quy_mo_dn_tre1,xac_suat,trang_thai
CIG,2019-12-31 00:00:00,2019,Xây dựng COMA 18,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,8.97E+11,7.79E+11,2493226527,3.8E+11,4.72E+11,5.66E+11,3.31E+11,125278920,-5085050119,4931863377,3812632,506876026,813323947,3865389804,3082089718,-55270927273,199300008,54691344893,0.000139664,3.31E+11,0.000378486,0.630992196,1.709969789,1.650423729,0.845338983,-6.252182956,-0.117099422,6.799055862,19.37999916,0,0.002723537,0.006906112,1.758949881,0.973747017,0.605633803,1.535714286,-0.280552278,-0.653937947,6.747586527,0.193804562,An toàn
CIG,2020-12-31 00:00:00,2020,Xây dựng COMA 18,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,6.87E+11,4.98E+11,2378308561,1.12E+11,4.38E+11,5.31E+11,1.56E+11,-1.6E+11,-1.82E+11,25610385676,1438406,-13503384927,789339814,2.02E+11,2419058464,0,-3651851996,3536934030,-0.232896652,1.56E+11,-1.025641026,0.772925764,3.403846154,1.136986301,0.881278539,-230.5724313,0,6.532334292,37.33000183,1,0.000139664,0.000378486,1.650423729,0.845338983,0.630992196,1.709969789,-6.252182956,-0.117099422,6.799055862,0.373251706,An toàn
CIG,2021-12-31 00:00:00,2021,Xây dựng COMA 18,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,7.08E+11,2.91E+11,916253049,1.12E+11,4.44E+11,5.36E+11,1.71E+11,16548612398,9668240794,29583834844,223507402,15846693681,495943966,13737141163,1870324823,0,5731300462,-7193355974,0.023373746,1.71E+11,0.096775511,0.757062147,3.134502924,0.655405405,0.403153153,19.4946233,0,6.562444094,4.300000191,1,-0.232896652,-1.025641026,1.136986301,0.881278539,0.772925764,3.403846154,-230.5724313,0,6.532334292,0.043003358,An toàn
CIG,2022-12-31 00:00:00,2022,Xây dựng COMA 18,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,7.3E+11,6.14E+11,979933550,46358555925,5.67E+11,5.68E+11,1.62E+11,-6656969478,-15966660622,83224739215,1438406,-4636003106,1123707452,87860742321,6560137387,88760000000,-3867263302,-84829056197,-0.009119136,1.62E+11,-0.041092404,0.778082192,3.50617284,1.082892416,1.001131295,-14.20891229,0.15654321,6.593044534,7.679999828,1,0.023373746,0.096775511,0.655405405,0.403153153,0.757062147,3.134502924,19.4946233,0,6.562444094,0.076825522,An toàn
CIG,2023-12-31 00:00:00,2023,Xây dựng COMA 18,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,7.59E+11,5.37E+11,537628358,15279542387,6.05E+11,6.05E+11,1.54E+11,-7212365906,2288767498,66138358271,1438406,21089484481,3322196658,45048873790,14801260420,65318182,5989487585,-6497110959,-0.009502458,1.54E+11,-0.046833545,0.797101449,3.928571429,0.887603306,0.862347864,0.688931973,0.000107964,6.632001777,7.679999828,1,-0.009119136,-0.041092404,1.082892416,1.001131295,0.778082192,3.50617284,-14.20891229,0.15654321,6.593044534,0.076825522,An toàn
CIG,2024-12-31 00:00:00,2024,Xây dựng COMA 18,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,9.82E+11,3.43E+11,2212863342,15460328475,4.93E+11,7.74E+11,2.09E+11,54445333595,19481686505,94444115464,1438406,26838396308,13227572143,67605719156,2099437303,-730956727,-14137618459,16543810170,0.055443313,2.09E+11,0.260503988,0.788187373,3.703349282,0.695740365,0.664380672,1.47280894,-0.001482671,6.889591308,7.679999828,1,-0.009502458,-0.046833545,0.887603306,0.862347864,0.797101449,3.928571429,0.688931973,0.000107964,6.632001777,0.076825522,An toàn
CII,2019-12-31 00:00:00,2019,Hạ tầng Kỹ thuật TP.HCM,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,2.92E+13,1.12E+13,6.37E+11,5.94E+12,1.16E+13,2.06E+13,8.62E+12,4.59E+11,-12344066826,1.81E+12,1.8E+11,5.7E+11,5.49E+11,1.24E+12,68389339764,-1.22E+12,1.06E+12,3.07E+11,0.015719178,8.62E+12,0.05324826,0.705479452,2.389791183,0.965517241,0.453448276,-0.022484639,-0.105172414,10.28192399,6.909999847,1,0.009641256,0.027885863,0.907692308,0.756615385,0.65470852,1.893644617,0.314873418,-0.410769231,10.01234196,0.069108605,An toàn
CII,2020-12-31 00:00:00,2020,Hạ tầng Kỹ thuật TP.HCM,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,2.95E+13,1.1E+13,4.39E+11,4.69E+12,8.29E+12,2.18E+13,7.79E+12,4.72E+11,4.55E+11,5.37E+12,3.88E+11,1.14E+12,5.13E+11,4.23E+12,1.87E+11,-8.53E+11,1.92E+12,-1.26E+12,0.016,7.79E+12,0.060590501,0.738983051,2.798459564,1.326899879,0.761158022,0.886939571,-0.102895054,10.29214554,7.679999828,1,0.015719178,0.05324826,0.965517241,0.453448276,0.705479452,2.389791183,-0.022484639,-0.105172414,10.28192399,0.076825522,An toàn
CII,2021-12-31 00:00:00,2021,Hạ tầng Kỹ thuật TP.HCM,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,3.09E+13,1.05E+13,6.89E+11,4.55E+12,9.16E+12,2.25E+13,8.38E+12,-1.6E+11,2.67E+11,2.86E+12,3.92E+11,8.24E+11,7.41E+11,2.04E+12,82443605673,5.84E+11,3.95E+11,-7.29E+11,-0.005177994,8.38E+12,-0.019093079,0.72815534,2.6849642,1.14628821,0.649563319,0.360323887,0.063755459,10.33851146,7.679999828,1,0.016,0.060590501,1.326899879,0.761158022,0.738983051,2.798459564,0.886939571,-0.102895054,10.29214554,0.076825522,An toàn
CII,2022-12-31 00:00:00,2022,Hạ tầng Kỹ thuật TP.HCM,Ho Chi Minh Securities Trading Centre,xây dựng và vật liệu,,2.86E+13,7.23E+12,2.76E+11,1.62E+12,9.57E+12,2.03E+13,8.3E+12,8.61E+11,8.05E+11,5.75E+12,6.59E+11,1.34E+12,4.6E+11,4.4E+12,94651009760,-2.25E+11,-1.36E+12,1.18E+12,0.030104895,8.3E+12,0.10373494,0.70979021,2.445783133,0.755485893,0.586206897,1.75,-0.023510972,10.261162,7.679999828,1,-0.005177994,-0.019093079,1.14628821,0.649563319,0.72815534,2.6849642,0.360323887,0.063755459,10.33851146,0.076825522,An toàn
